t, flux
-5.39984, 1.00113
-5.34771, 1.00108
-5.29557, 1.00106
-5.25213, 1.00102
-5.22606, 1.00013
-5.19999, 1.00023
-5.16523, 1.00019
-5.14786, 1.00015
-5.12179, 1.00032
-5.10441, 1.00064
-5.07834, 1.00093
-5.05227, 1.00089
-5.03490, 1.00077
-5.00883, 1.00074
-4.97407, 1.00081
-4.93063, 1.00096
-4.89587, 1.00106
-4.86111, 1.00094
-4.83504, 1.00081
-4.80898, 1.00077
-4.78291, 1.00079
-4.74815, 1.00064
-4.70470, 1.00064
-4.66995, 1.00081
-4.63519, 1.00074
-4.60912, 1.00068
-4.58306, 1.00044
-4.54830, 1.00036
-4.52223, 1.00036
-4.48747, 1.00036
-4.46141, 1.00049
-4.42665, 1.00055
-4.39189, 1.00064
-4.36582, 1.00057
-4.33976, 1.00042
-4.31369, 1.00045
-4.28762, 1.00040
-4.26155, 1.00030
-4.22680, 1.00042
-4.20073, 1.00036
-4.16597, 1.00038
-4.13121, 1.00036
-4.10515, 1.00038
-4.06170, 1.00038
-4.00088, 1.00036
-3.97481, 1.00034
-3.94005, 1.00034
-3.89660, 1.00047
-3.86185, 1.00045
-3.82709, 1.00045
-3.79233, 1.00045
-3.74889, 1.00025
-3.70544, 1.00068
-3.67068, 1.00019
-3.62724, 0.999945
-3.58379, 1.00042
-3.54904, 1.00023
-3.51428, 1.00027
-3.47952, 1.00023
-3.23622, 1.00021
-3.18409, 1.00004
-3.14064, 1.00019
-3.09719, 1.00010
-3.05375, 1.00013
-3.01899, 1.00027
-2.98423, 1.00025
-2.94079, 1.00027
-2.89734, 1.00036
-2.86258, 1.00011
-2.81914, 1.00006
-2.78438, 1.00006
-2.75831, 1.00008
-2.73225, 1.00008
-2.69749, 1.00008
-2.66273, 1.00013
-2.62798, 1.00011
-2.58453, 1.00008
-2.54977, 1.00004
-2.51502, 1.00004
-2.48895, 1.00006
-2.45419, 1.00011
-2.41943, 1.00008
-2.38468, 0.999964
-2.34992, 0.999983
-2.32385, 1.00034
-2.28909, 0.999832
-2.25434, 0.999907
-2.21958, 1.00000
-2.18482, 1.00025
-2.15876, 1.00034
-2.10662, 1.00011
-2.07186, 0.999813
-2.04580, 1.00000
-2.00235, 0.999907
-1.96759, 0.999889
-1.93284, 0.999889
-1.88939, 0.999964
-1.84594, 0.999983
-1.81119, 1.00000
-1.77643, 1.00000
-1.74167, 1.00008
-1.68954, 0.999964
-1.66347, 0.999945
-1.62871, 0.999964
-1.59396, 0.999964
-1.56789, 1.00027
-1.53313, 0.999983
-1.50706, 0.999851
-1.47231, 0.999813
-1.44624, 0.999851
-1.39410, 1.00038
-1.23770, 0.999964
-1.19425, 0.999907
-1.15949, 0.999813
-1.13343, 0.999700
-1.10736, 0.999719
-1.07260, 0.999964
-1.03784, 1.00019
-1.00309, 1.00017
-0.968329, 1.00008
-0.942262, 0.999945
-0.907505, 0.999832
-0.881437, 0.999889
-0.846680, 0.999926
-0.803234, 1.00013
-0.768477, 1.00023
-0.742409, 1.00021
-0.681584, 0.995534
-0.638138, 0.995421
-0.603381, 0.995402
-0.568624, 0.995364
-0.516489, 0.999851
-0.481732, 1.00023
-0.455664, 1.00040
-0.420907, 1.00059
-0.394839, 1.00051
-0.368772, 1.00036
-0.342704, 1.00038
-0.316636, 1.00042
-0.290568, 1.00055
-0.255811, 1.00055
-0.212365, 1.00064
-0.186297, 1.00064
-0.160230, 1.00066
-0.116783, 1.00079
-0.0820265, 1.00068
-0.0559587, 1.00072
-0.0298910, 1.00079
0.00486598, 1.00102
0.0396230, 1.00111
0.0830692, 1.00115
0.117826, 1.00111
0.161272, 1.00138
0.196029, 1.00115
0.222097, 1.00109
0.265543, 1.00111
0.300300, 1.00111
0.343747, 1.00108
0.387193, 1.00044
0.421950, 0.999907
0.465396, 0.999889
0.543599, 1.00077
0.595735, 1.00077
0.656559, 1.00060
0.708695, 1.00121
