# Graph from HAT-P-2b, page 1
t 	flux 	b       c
-5.387	1.00112	0.00000	0.00000
-5.387	1.00094	0.00000	4.938
-5.346	1.00112	0.00000	0.00000
-5.224	1.00050	0.00000	4.612
-5.183	1.00015	0.00000	0.00000
-5.183	1.00024	0.00000	0.00000
-5.142	1.00050	0.00000	0.00000
-5.061	1.00041	0.00000	0.00000
-5.020	1.00076	0.00000	0.00000
-4.979	1.00076	0.00000	0.00000
-4.938	1.00094	0.00000	4.204
-4.938	1.00094	0.00000	0.00000
-4.734	1.00059	0.00000	0.00000
-4.734	1.00068	0.00000	0.00000
-4.734	1.00094	0.00000	0.00000
-4.653	1.00050	0.00000	0.00000
-4.530	1.00059	-0.8979	0.00000
-4.408	1.00015	0.00000	0.00000
-4.408	1.00032	0.00000	0.00000
-4.367	1.00068	0.00000	2.816
-4.285	1.00032	0.00000	0.00000
-4.122	1.00041	0.00000	0.00000
-4.122	1.00050	0.00000	3.714
-4.000	1.00024	0.00000	0.00000
-3.795	1.00024	0.00000	0.00000
-3.714	1.00059	0.00000	0.00000
-3.673	1.00024	0.00000	3.469
-3.551	1.00024	0.00000	0.00000
-3.551	1.00006	0.00000	0.00000
-3.142	1.00006	0.00000	3.020
-3.102	1.00041	0.00000	0.00000
-3.020	1.00024	0.00000	3.020
-2.897	1.00024	0.00000	2.897
-2.775	1.00015	0.00000	0.00000
-2.734	1.00006	0.00000	0.00000
-2.653	1.00015	0.00000	0.00000
-2.612	1.00015	0.00000	0.00000
-2.571	0.999890	0.00000	0.00000
-2.489	1.00024	0.00000	0.00000
-2.408	0.999978	0.00000	0.00000
-2.367	0.999890	0.00000	0.00000
-2.204	1.00068	0.00000	0.00000
-2.163	0.999978	0.00000	0.00000
-2.163	1.00068	0.00000	0.00000
-2.163	1.00024	0.00000	0.00000
-1.959	1.00006	0.00000	0.00000
-1.918	0.999890	0.00000	0.00000
-1.918	1.00006	0.00000	0.00000
-1.755	0.999890	0.00000	0.00000
-1.755	1.00006	0.00000	0.00000
-1.591	0.999802	0.00000	0.00000
-1.551	1.00006	0.00000	0.00000
-1.469	1.00015	0.00000	0.00000
-1.387	1.00032	0.00000	0.00000
-1.183	0.999978	0.00000	0.00000
-1.102	0.999714	0.00000	0.00000
-1.102	0.999714	0.00000	0.00000
-1.020	1.00015	0.00000	0.00000
-1.020	0.999978	0.00000	0.00000
-0.8163	1.00015	0.00000	0.00000
-0.7755	1.00006	0.00000	0.00000
-0.6938	1.00024	0.00000	0.00000
-0.6530	0.995230	0.00000	0.00000
-0.6530	0.995582	0.00000	0.00000
-0.6530	0.995670	0.00000	0.00000
-0.6530	0.995582	0.00000	0.00000
-0.6530	0.995494	0.00000	0.00000
-0.6122	0.995142	0.00000	0.00000
-0.5714	0.995318	0.00000	0.00000
-0.5306	1.00006	0.00000	0.00000
-0.4489	1.00015	0.00000	0.00000
-0.4081	1.00050	0.00000	0.00000
-0.4081	1.00050	0.00000	0.00000
-0.2857	1.00059	0.00000	0.00000
-0.2448	1.00050	0.00000	0.00000
-0.2448	1.00041	0.00000	0.00000
-0.1632	1.00041	0.00000	0.00000
8.881E-16	1.00094	0.00000	0.00000
8.881E-16	1.00094	0.00000	0.00000
0.04081	1.00094	0.00000	0.00000
0.1224	1.00112	0.00000	0.00000
0.1632	1.00120	0.00000	0.00000
0.2040	1.00103	0.00000	0.00000
0.2448	1.00120	0.00000	0.00000
0.4081	1.00059	0.00000	0.00000
0.4081	1.00094	0.00000	0.00000
0.4489	0.999890	0.00000	0.00000
0.4897	1.00015	0.00000	0.00000
0.4897	1.00006	0.00000	0.00000
0.5714	1.00041	0.00000	0.00000
0.5714	1.00032	0.00000	0.00000
0.5714	1.00094	0.00000	0.00000
0.5714	1.00041	0.00000	0.00000
0.6122	1.00068	0.00000	0.00000
0.6122	1.00085	0.00000	0.00000

