#t 	flux 	b      	c
-5.183	1.00891	0.00000	0.00000
-5.142	0.999735	0.00000	0.00000
-5.020	1.00979	0.00000	0.00000
-4.938	1.00079	0.00000	0.00000
-4.816	1.00988	0.00000	11.30
-4.734	1.00079	0.00000	0.00000
-4.653	1.00961	0.00000	0.00000
-4.530	1.00070	0.00000	0.00000
-4.448	1.00952	0.00000	0.00000
-4.326	1.00079	0.00000	0.00000
-4.163	1.00935	0.00000	0.00000
-4.122	1.00079	0.00000	0.00000
-3.959	1.00935	0.00000	0.00000
-3.918	1.00079	0.00000	0.00000
-3.795	1.00935	0.00000	0.00000
-3.714	1.00088	0.00000	0.00000
-3.591	1.00917	0.00000	0.00000
-3.510	1.00079	0.00000	0.00000
-3.306	1.00088	0.00000	0.00000
-3.142	1.00917	0.00000	0.00000
-3.061	1.00088	0.00000	0.00000
-2.979	1.00917	0.00000	0.00000
-2.857	1.00079	0.00000	0.00000
-2.775	1.00908	0.00000	0.00000
-2.612	1.00070	0.00000	0.00000
-2.530	1.00900	0.00000	0.00000
-2.408	1.00070	0.00000	0.00000
-2.326	1.00891	0.00000	0.00000
-2.163	1.00088	0.00000	0.00000
-2.081	1.00891	0.00000	0.00000
-1.918	1.00070	0.00000	0.00000
-1.877	1.00891	0.00000	0.00000
-1.714	1.00070	0.00000	0.00000
-1.632	1.00900	0.00000	0.00000
-1.387	1.00891	0.00000	0.00000
-1.306	1.00061	0.00000	0.00000
-1.142	1.00882	0.00000	0.00000
-1.061	1.00061	0.00000	0.00000
-0.8979	1.00900	0.00000	0.00000
-0.7755	1.00061	0.00000	0.00000
-0.6122	1.00441	0.00000	0.00000
-0.6122	0.995499	0.00000	0.00000
-0.4897	1.00908	0.00000	0.00000
-0.4081	1.00944	0.00000	0.00000
-0.4081	1.00035	0.00000	0.00000
-0.1632	1.00961	0.00000	0.00000
-0.1632	1.00044	0.00000	0.00000
0.04081	1.00105	0.00000	0.00000
0.08163	1.00997	0.00000	0.00000
0.2448	1.01014	0.00000	0.00000
0.2857	1.00123	0.00000	0.00000
0.4489	1.00891	0.00000	0.00000
0.4897	0.999911	0.00000	0.00000
0.6122	1.00952	0.00000	0.00000
0.6530	1.00088	0.00000	0.00000

