t, flux, occultation
-0.56000, 1.00028,
-0.56000, 1.00015,
-0.54000, 1.00055,
-0.54000, 1.00049,
-0.52000, 1.00015,e
-0.52000, 0.99999,e
-0.52000, 0.99990,e
-0.50000, 1.00004,e
-0.50000, 0.99989,e
-0.50000, 0.99982,e
-0.48000, 0.99996,e
-0.48000, 0.99987,e
-0.46000, 1.00057,
-0.46000, 1.00045,
-0.46000, 1.00029,
-0.46000, 1.00075,
-0.44000, 1.00054,
-0.44000, 1.00033,
-0.44000, 1.00020,
-0.42000, 1.00041,
-0.42000, 1.00030,
-0.40000, 1.00035,
-0.40000, 1.00029,
-0.40000, 1.00014,
-0.38000, 1.00057,
-0.38000, 1.00044,
-0.38000, 1.00035,
-0.38000, 1.00022,
-0.38000, 1.00017,
-0.36000, 1.00040,
-0.36000, 1.00030,
-0.34000, 1.00043,
-0.34000, 1.00019,
-0.34000, 1.00008,
-0.32000, 1.00019,
-0.32000, 1.00010,
-0.30000, 1.00043,
-0.30000, 1.00034,
-0.30000, 1.00022,
-0.28000, 1.00033,
-0.28000, 1.00015,
-0.28000, 1.00062,
-0.28000, 0.99988,
-0.26000, 1.00038,
-0.26000, 1.00026,
-0.26000, 1.00010,
-0.24000, 1.00033,
-0.24000, 1.00015,
-0.22000, 1.00025,
-0.22000, 1.00014,
-0.22000, 1.00000,
-0.20000, 1.00027,
-0.20000, 0.99999,
-0.20000, 0.99994,
-0.18000, 1.00031,
-0.18000, 1.00021,
-0.18000, 1.00010,
-0.18000, 0.99995,
-0.16000, 1.00007,
-0.14000, 1.00027,
-0.14000, 1.00001,
-0.14000, 0.99990,
-0.12000, 1.00013,
-0.12000, 1.00007,
-0.12000, 0.99993,
-0.10000, 1.00024,
-0.10000, 1.00017,
-0.10000, 1.00003,
-0.10000, 0.99997,
-0.10000, 0.99977,
-0.08000, 1.00017,
-0.08000, 1.00003,
-0.06000, 1.00029,
-0.06000, 1.00018,
-0.06000, 1.00008,
-0.04000, 1.00026,
-0.04000, 1.00016,
-0.04000, 1.00007,
-0.04000, 1.00001,
-0.02000, 0.99793,t
-0.02000, 0.99744,t
-0.01000, 0.99744,t
-0.01000, 0.99723,t
0.00000, 0.99759,t
0.00000, 0.99739,t
0.01000, 0.99742,t
0.02000, 0.99763,t
0.04000, 1.00021,
0.04000, 1.00010,
0.04000, 0.99997,
0.06000, 1.00022,
0.06000, 1.00012,
0.06000, 0.99998,
0.12000, 1.00040,
0.16000, 1.00029,
0.16000, 1.00016,
0.16000, 0.99990,
0.18000, 1.00043,
0.18000, 1.00029,
0.18000, 1.00017,
0.18000, 1.00000,
0.20000, 1.00035,
0.20000, 1.00024,
0.20000, 1.00018,
0.22000, 1.00043,
0.22000, 1.00028,
0.22000, 1.00010,
0.24000, 1.00033,
0.24000, 1.00011,
0.26000, 1.00055,
0.26000, 1.00038,
0.26000, 1.00028,
0.28000, 1.00052,
0.28000, 1.00042,
0.28000, 1.00033,
0.28000, 1.00023,
0.30000, 1.00046,
0.30000, 1.00037,
0.30000, 1.00030,
0.30000, 1.00019,
0.32000, 1.00054,
0.32000, 1.00039,
0.32000, 1.00033,
0.32000, 1.00017,
0.34000, 1.00056,
0.34000, 1.00035,
0.34000, 1.00028,
0.36000, 1.00067,
0.36000, 1.00054,
0.36000, 1.00047,
0.36000, 1.00031,
0.36000, 1.00025,
0.38000, 1.00047,
0.38000, 1.00041,
0.38000, 1.00025,
0.40000, 1.00047,
0.40000, 1.00038,
0.40000, 1.00026,
0.40000, 1.00020,
0.42000, 1.00040,
0.42000, 1.00029,
0.42000, 1.00019,
0.42000, 1.00013,
0.44000, 0.99999,
0.44000, 1.00051,
0.44000, 1.00044,
0.44000, 1.00032,
0.46000, 1.00052,
0.46000, 1.00044,
0.46000, 1.00029,
0.48000, 0.99996,e
0.48000, 0.99985,e
0.48000, 1.00029,e
0.48000, 1.00009,e
0.50000, 0.99999,e
0.50000, 1.00020,e
0.50000, 1.00008,e
0.52000, 0.99998,e
0.52000, 0.99990,e
0.54000, 1.00051,
0.54000, 1.00042,
0.54000, 1.00032,
0.54000, 1.00026,
0.56000, 1.00057,
0.56000, 1.00035,
0.56000, 1.00021,
0.56000, 1.00004,
0.58000, 1.00038,
0.58000, 1.00028,
