# Graph from HAT-P-2b, page 1
t	flux
-32.52	-94.33
-32.16	132.0
-30.72	-37.73
-30.36	169.8
-29.63	132.0
-29.63	-113.2
-28.19	169.8
-27.47	-113.2
-26.75	-113.2
-26.03	-150.9
-24.58	150.9
-24.22	18.86
-23.86	18.86
-23.14	150.9
-19.53	-132.0
-17.73	18.86
-16.64	18.86
-16.64	37.73
-14.48	-94.33
-13.04	396.2
-12.31	94.33
-11.95	0.00000
-10.15	56.60
-9.432	547.1
-9.072	415.0
-8.350	37.73
-8.350	452.8
-7.989	283.0
-7.628	415.0
-7.628	169.8
-4.742	566.0
-4.742	735.8
-3.659	-132.0
-3.298	-56.60
-2.938	75.47
-2.577	-37.73
0.6701	773.5
1.752	528.3
1.752	660.3
2.835	773.5
3.917	245.2
4.639	528.3
4.999	320.7
4.999	377.3
6.804	169.8
7.164	18.86
7.525	226.4
10.05	113.2
10.05	113.2
10.77	264.1
14.02	245.2
14.38	-75.47
15.10	37.73
18.35	113.2
19.07	150.9
19.07	-56.60
20.15	-75.47
20.15	-37.73
21.59	113.2
23.04	169.8
23.40	113.2
24.48	245.2
24.84	-37.73
25.92	-37.73
25.92	94.33
26.64	94.33
27.73	37.73
27.73	226.4
30.61	18.86
30.97	132.0
32.06	169.8
32.06	207.5
33.86	-94.33
34.94	94.33
34.94	-75.47
35.30	-94.33
35.67	56.60
37.47	94.33
38.19	18.86
38.91	37.73
40.36	-56.60
41.44	75.47
42.16	37.73
43.96	226.4
44.69	132.0
44.69	-94.33
45.05	188.6
45.41	-169.8
45.41	-132.0
45.77	-37.73
47.21	-37.73

