# Graph from HAT-P-2b, page 1
t 	flux
-18.81	169.8
-18.45	603.7
-18.09	811.3
-17.73	264.1
-17.73	754.7
-17.37	754.7
-16.28	471.6
-15.56	320.7
-15.56	849.0
-15.20	905.6
-15.20	792.4
-14.84	622.6
-14.84	415.0
-14.48	698.1
-14.12	924.5
-13.40	528.3
-13.40	377.3
-13.04	264.1
-12.68	1056
-12.31	584.9
-11.95	811.3
-11.59	905.6
-10.87	698.1
-10.87	452.8
-10.15	905.6
-10.15	660.3
-9.432	566.0
-9.072	301.8
-8.711	1113
-8.350	924.5
-8.350	1018
-8.350	1037
-7.989	471.6
-7.628	679.2
-7.628	566.0
-6.907	660.3
-6.185	830.1
-4.742	830.1
-4.742	1075
-4.381	1094
-4.020	905.6
-3.659	-169.8
-3.298	132.0
-2.577	113.2
-2.216	-75.47
-1.494	905.6
-0.7731	1094
0.3092	943.3
2.474	1150
2.835	773.5
3.195	1018
3.195	641.5
3.556	886.7
3.917	1056
3.917	622.6
4.278	528.3
4.639	1188
5.360	641.5
5.721	433.9
6.082	773.5
6.443	547.1
6.804	849.0
6.804	396.2
7.164	490.5
7.164	886.7
7.525	773.5
7.886	773.5
8.247	396.2
8.969	679.2
9.329	792.4
9.329	622.6
10.41	679.2

