NAME,A,AUPPER,ALOWER,UA,PER,PERUPPER,PERLOWER,UPER,ECC,ECCUPPER,ECCLOWER,UECC,OM,OMUPPER,OMLOWER,UOM,J,JUPPER,JLOWER,UJ,H,HUPPER,HLOWER,UH,Ks,KsUPPER,KsLOWER,UKs,KP,KPUPPER,KPLOWER,UKP,3p6,3p6UPPER,3p6LOWER,U3p6,4p5,4p5UPPER,4p5LOWER,U4p5,5p8,5p8UPPER,5p8LOWER,U5p8,8p0,8p0UPPER,8p0LOWER,U8p0,AR,ARUPPER,ARLOWER,UAR,MP,MPUPPER,MPLOWER,UMP,RP,RPUPPER,RPLOWER,URP,MS,MSUPPER,MSLOWER,UMS,RS,RSUPPER,RSLOWER,URS,TEFF,TEFFUPPER,TEFFLOWER,UTEFF,GRAVITY,GRAVITYUPPER,GRAVITYLOWER,UGRAVITY,FEH,FEHUPPER,FEHLOWER,UFEH,LAMBDA,LAMBDAUPPER,LAMBDALOWER,ULAMBDA,DATE
,au,au,au,au,day,day,day,day,,,,,deg,deg,deg,deg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mjupiter,mjupiter,mjupiter,mjupiter,rjupiter,rjupiter,rjupiter,rjupiter,msun,msun,msun,msun,rsun,rsun,rsun,rsun,k,k,k,k,,,,,,,,,deg,deg,deg,deg,
WASP-14 b,0.0367693,0.000701704,0.000701704,0.000701704,2.243752,0.00001,0.00001,0.00001,0.091,0.003,0.003,0.003,253.371,0.693,0.678,0.6855,,,,,,,,,,,,,,,,,0.00187,0.00007,0.00007,0.00007,0.00224,0.00018,0.00018,0.00018,,,,,0.00182,0.00022,0.00022,0.00022,6.04917,0.343235,0.343235,0.343235,7.69234,0.293081,0.293081,0.293081,1.281,0.075,0.082,0.0785,1.31,0.05,0.09999999999999999,0.075,1.31,0.07,0.07,0.07,6475,100,100,100,4.06276,0.0504402,0.0504402,0.0504402,0,0.2,0.2,0.2,-33.1,7.4,7.4,7.4,2009
WASP-19 b,0.0163152,0.00027192,0.00027192,0.00027192,0.78884,3e-7,3e-7,3e-7,0.0046,0.0044,0.0027999999999999995,0.0036,3,70,70,70,,,,,0.00276,0.00044,0.00044,0.00044,,,,,,,,,0.00483,0.00025,0.00025,0.00025,0.00572,0.0003,0.0003,0.0003,0.0065,0.0011,0.0011,0.0011,0.0073,0.0012,0.0012,0.0012,3.55172,0.0930185,0.0930185,0.0930185,1.13339,0.0393463,0.0393463,0.0393463,1.386,0.032,0.032,0.032,0.93,0.02,0.02,0.02,0.99,0.02,0.02,0.02,5500,100,100,100,3.16909,0.0236913,0.0236913,0.0236913,0.02,0.09,0.09,0.09,4.6,5.2,5.2,5.2,2010
WASP-18 b,0.0201401,0.000335668,0.000335668,0.000335668,0.9414529,7.8e-7,8.599999999999999e-7,8.2e-7,0.00848,0.00085,0.00095,0.0009,267.9,4.6,4.6,4.6,,,,,,,,,,,,,,,,,0.003,0.0002,0.0002,0.0002,0.0039,0.0002,0.0002,0.0002,0.0037,0.0003,0.0003,0.0003,0.0041,0.0002,0.0002,0.0002,3.56952,0.187295,0.187295,0.187295,10.2006,0.335619,0.335619,0.335619,1.267,0.062,0.045,0.0535,1.22,0.03,0.03,0.03,1.216,0.067,0.05399999999999999,0.0605,6400,100,100,100,4.29671,0.0462292,0.0462292,0.0462292,0,0.09,0.09,0.09,4,5,5,5,2009
WASP-17 b,0.0499354,0.000832256,0.000832256,0.000832256,3.735433,0.0000075,0.0000077,0.0000076,0,,,,90,,,,,,,,,,,,,,,,,,,,,,,,0.00229,0.00013,0.00013,0.00013,,,,,0.00237,0.00039,0.00039,0.00039,8.96828,0.619912,0.619912,0.619912,0.508547,0.0300802,0.0300802,0.0300802,1.932,0.052,0.1,0.076,1.19,0.03,0.03,0.03,1.2,0.081,0.08,0.0805,6550,100,100,100,2.74458,0.0638687,0.0638687,0.0638687,-0.25,0.09,0.09,0.09,-148.5,4.2,5.1000000000000005,4.65,2010
XO-3 b,0.0477112,0.000795188,0.000795188,0.000795188,3.1915426,0.00014,0.00014,0.00014,0.2884,0.0035,0.0035,0.0035,346.3,1.3,1.3,1.3,,,,,,,,,,,,,,,,,0.00101,0.00004,0.00004,0.00004,0.00158,0.000033,0.000039,0.000036,0.00134,0.00049,0.00049,0.00049,0.0015,0.00036,0.00036,0.00036,4.94598,0.179452,0.179452,0.179452,13.2849,0.444146,0.444146,0.444146,1.217,0.073,0.073,0.073,1.41,0.004,0.004,0.004,2.07898,0.0670011,0.0670011,0.0670011,6429,50,50,50,3.95601,0.0493149,0.0493149,0.0493149,-0.177,0.027,0.027,0.027,37.3,3,3,3,2008
HAT-P-2 b,0.0679088,0.0014364,0.0014364,0.0014364,5.6334729,0.0000061,0.0000061,0.0000061,0.5171,0.0033,0.0033,0.0033,185.22,0.95,0.95,0.95,,,,,,,,,,,,,,,,,0.000996,0.000072,0.000072,0.000072,0.001031,0.000061,0.000061,0.000061,0.00071,0.00029,0.00013000000000000002,0.00021,0.001392,0.000095,0.000095,0.000095,9.71813,0.757602,0.757602,0.757602,8.87065,0.4059,0.4059,0.4059,1.157,0.073,0.06300000000000001,0.068,1.308,0.088,0.07800000000000001,0.083,1.506,0.13,0.096,0.113,6290,60,60,60,4.29423,0.0849506,0.0849506,0.0849506,0.14,0.08,0.08,0.08,9,10,10,10,2007
Kepler-7 b,0.0622369,0.00103728,0.00103728,0.00103728,4.885525,0.00004,0.00004,0.00004,0,,,,90,,,,,,,,,,,,,,,,0.0000466,0.0000039,0.0000039,0.0000039,,,,,,,,,,,,,,,,,7.27788,0.255692,0.255692,0.255692,0.437758,0.0385085,0.0385085,0.0385085,1.478,0.05,0.051000000000000004,0.0505,1.347,0.000049446,0.125950554,0.063,1.843,0.048,0.066,0.057,5933,44,44,44,2.69807,0.0469199,0.0469199,0.0469199,0.11,0.03,0.03,0.03,,,,,2010
WASP-24 b,0.0365155,0.000608592,0.000608592,0.000608592,2.3412127,0.000002,0.000002,0.000002,0,,,,90,,,,,,,,,,,,,,,,,,,,0.00159,0.00013,0.00013,0.00013,0.00202,0.00018,0.00018,0.00018,,,,,,,,,5.91264,0.172969,0.172969,0.172969,1.091,0.0405076,0.0405076,0.0405076,1.3,0.039,0.038,0.0385,1.184,0.027,0.027,0.027,1.331,0.032,0.032,0.032,6075,100,100,100,3.20586,0.0269466,0.0269466,0.0269466,,,,,-4.7,4,4,4,2010
HAT-P-4 b,0.0443853,0.00106695,0.00106695,0.00106695,3.056536,0.000057,0.000057,0.000057,0,,,,90,,,,,,,,,,,,,,,,,,,,0.00142,0.00014,0.00018000000000000004,0.00016,0.00122,0.00012,0.00014,0.00013,,,,,,,,,5.9936,0.291573,0.291573,0.291573,0.671507,0.0359131,0.0359131,0.0359131,1.274,0.049,0.06,0.0545,1.248,0.07,0.10999999999999999,0.09,1.596,0.06,0.07500000000000001,0.0675,5860,80,80,80,3.01321,0.0437115,0.0437115,0.0437115,0.24,0.08,0.08,0.08,-4.9,11.9,11.9,11.9,2007
